,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,30.116799999999998,23.9,13.659999999999997
1,232.78639999999993,152.39999999999998,128.68
2,609.448,397.29999999999995,338.09999999999997
3,759.5503999999999,516.0000000000001,406.4800000000001
4,911.9712,642.1,471.94
5,1128.26,797.6999999999999,581.5
6,1309.2743999999998,932.0,670.2799999999999
7,1436.7472,1048.5,717.1399999999999
8,1913.2287999999999,1416.4,940.56
9,2017.6239999999998,1485.3999999999999,997.8
10,2420.46,1829.6000000000001,1163.0
11,2783.8888000000006,2100.2,1340.56
12,2832.088,2137.5000000000005,1363.1
13,3346.0671999999995,2546.2000000000003,1595.6399999999999
14,3523.9175999999998,2665.2000000000003,1692.12
15,4522.3472,3429.3,2165.14
16,4401.0624,3348.0999999999995,2099.38
17,4881.6208,3716.7000000000003,2326.46
18,5305.663999999999,4070.0000000000005,2506.8
19,5796.5488,4437.0,2745.5599999999995
