,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,153.32799999999997,63.69999999999999,64.02000000000001,23
2,216.52000000000004,92.89999999999999,88.3,31
3,269.1919999999999,121.80000000000003,105.28,33
4,319.2160000000001,161.1,112.94,32
5,403.85600000000005,200.8,145.04000000000002,32
6,483.8,231.8,179.99999999999997,32
7,448.544,237.2,150.95999999999998,26
8,688.1680000000001,352.7,239.61999999999998,33
9,900.2079999999999,462.3999999999999,312.71999999999997,36
10,756.376,405.2000000000001,250.84,26
11,829.224,436.30000000000007,280.65999999999997,25
12,943.5680000000001,491.20000000000016,323.11999999999995,25
13,1301.3119999999997,688.0000000000001,438.0799999999999,30
14,1155.7759999999998,604.4000000000001,393.84000000000003,24
15,1529.8639999999998,811.3000000000001,513.26,28
16,1557.8239999999996,823.9999999999999,524.16,25
17,1636.672,866.0000000000001,550.48,24
18,2087.6239999999993,1115.1000000000001,694.6600000000002,28
19,1719.5520000000006,913.5999999999999,575.68,21
