,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,282.048,94.70000000000005,133.82000000000002,36
1,323.85600000000005,122.89999999999998,143.54000000000002,39
2,323.3119999999999,134.20000000000005,135.07999999999998,34
3,357.4800000000001,147.9,149.70000000000002,33
4,415.12,182.29999999999998,166.29999999999995,32
5,404.89600000000013,179.3,161.14,27
6,473.84800000000007,222.10000000000002,179.82,27
7,693.512,340.5999999999999,252.08,34
8,666.2399999999999,318.2,248.6,27
9,678.12,341.70000000000005,240.3,25
10,976.1679999999999,495.09999999999985,343.61999999999995,31
11,1072.56,551.9000000000001,371.90000000000003,30
12,1264.9279999999999,637.7000000000002,448.02000000000015,31
13,1280.92,661.0000000000001,442.8,28
14,1797.4399999999998,931.4000000000002,618.6,35
15,1657.8319999999999,867.7,564.38,29
16,1468.192,760.8000000000001,505.28,23
17,1612.5039999999997,849.7,544.86,23
18,1934.6799999999998,1015.3000000000001,656.6999999999999,25
19,2199.9199999999996,1154.4000000000003,746.8000000000001,26
